year,month,season,date,site,site_number,plot,microsite,rep,lat,long,mass_g
2019,June,summer,10-Jun-19,Panoche,1,4,open,1,36.69370,-120.79278,23
2019,June,summer,10-Jun-19,Panoche,1,4,open,2,36.69374,-120.79280,24
2019,June,summer,10-Jun-19,Panoche,1,4,open,3,36.69379,-120.79285,34
2019,June,summer,10-Jun-19,Panoche,1,3,shrub,4,36.69530,-120.79700,30
2019,June,summer,10-Jun-19,Panoche,1,3,open,5,36.69526,-120.79700,24
2019,June,summer,10-Jun-19,Panoche,1,3,shrub,6,36.69530,-120.79717,35
2019,June,summer,10-Jun-19,Panoche,1,3,open,7,36.69527,-120.79713,8
2019,June,summer,10-Jun-19,Panoche,1,3,shrub,8,36.69533,-120.79720,36
2019,June,summer,10-Jun-19,Panoche,1,3,open,9,36.69532,-120.79717,4
2019,June,summer,10-Jun-19,Panoche,1,1,open,10,36.69591,-120.79655,39
2019,June,summer,10-Jun-19,Panoche,1,1,shrub,11,36.69589,-120.79656,10
2019,June,summer,10-Jun-19,Panoche,1,1,open,12,36.69601,-120.79668,2
2019,June,summer,10-Jun-19,Panoche,1,1,shrub,13,36.69605,-120.79668,4
2019,June,summer,10-Jun-19,Panoche,1,1,open,14,36.69596,-120.79656,3
2019,June,summer,10-Jun-19,Panoche,1,1,shrub,15,36.69594,-120.79662,9
2019,June,summer,10-Jun-19,Panoche,1,2,open,16,36.69601,-120.79783,1
2019,June,summer,10-Jun-19,Panoche,1,2,shrub,17,36.69601,-120.79777,3
2019,June,summer,10-Jun-19,Panoche,1,2,open,18,36.69605,-120.79789,1
2019,June,summer,10-Jun-19,Panoche,1,2,shrub,19,36.69615,-120.79789,4
2019,June,summer,10-Jun-19,Panoche,1,2,open,20,36.69618,-120.79803,3
2019,June,summer,10-Jun-19,Panoche,1,2,shrub,21,36.69619,-120.79803,7